Iterations,Markets visited,runtimes,population_size
1.0,17.0,0.009591,50.0
1.0,14.0,0.009903,50.0
1.0,16.0,0.010117,50.0
1.0,15.0,0.008421,50.0
1.0,16.0,0.010666,50.0
1.0,15.0,0.010849,50.0
1.0,16.0,0.009768,50.0
1.0,16.0,0.009474,50.0
1.0,16.0,0.00957,50.0
1.0,14.0,0.01088,50.0
2.0,16.0,0.017858,50.0
2.0,15.0,0.019492,50.0
2.0,15.0,0.017419,50.0
2.0,15.0,0.020176,50.0
2.0,16.0,0.01891,50.0
2.0,17.0,0.01972,50.0
2.0,16.0,0.021171,50.0
2.0,16.0,0.022397,50.0
2.0,15.0,0.020545,50.0
2.0,15.0,0.022014,50.0
3.0,17.0,0.032315,50.0
3.0,16.0,0.031004,50.0
3.0,16.0,0.030489,50.0
3.0,16.0,0.032787,50.0
3.0,16.0,0.029486,50.0
3.0,17.0,0.022428,50.0
3.0,16.0,0.031741,50.0
3.0,16.0,0.031296,50.0
3.0,15.0,0.028695,50.0
3.0,16.0,0.02977,50.0
4.0,15.0,0.039634,50.0
4.0,18.0,0.040435,50.0
4.0,18.0,0.039824,50.0
4.0,18.0,0.043501,50.0
4.0,16.0,0.044411,50.0
4.0,18.0,0.043617,50.0
4.0,17.0,0.026935,50.0
4.0,18.0,0.044541,50.0
4.0,16.0,0.039507,50.0
4.0,17.0,0.043033,50.0
5.0,18.0,0.05167,50.0
5.0,18.0,0.051663,50.0
5.0,16.0,0.051458,50.0
5.0,18.0,0.051446,50.0
5.0,16.0,0.04485,50.0
5.0,17.0,0.050497,50.0
5.0,17.0,0.046933,50.0
5.0,16.0,0.04963,50.0
5.0,17.0,0.062011,50.0
5.0,16.0,0.034161,50.0
6.0,17.0,0.061276,50.0
6.0,18.0,0.06143,50.0
6.0,17.0,0.065433,50.0
6.0,17.0,0.066911,50.0
6.0,17.0,0.06278,50.0
6.0,17.0,0.063443,50.0
6.0,17.0,0.061549,50.0
6.0,17.0,0.065303,50.0
6.0,16.0,0.0622,50.0
6.0,17.0,0.062208,50.0
7.0,18.0,0.058683,50.0
7.0,17.0,0.072064,50.0
7.0,18.0,0.049493,50.0
7.0,19.0,0.077953,50.0
7.0,17.0,0.079145,50.0
7.0,17.0,0.071209,50.0
7.0,17.0,0.072386,50.0
7.0,16.0,0.069984,50.0
7.0,17.0,0.075058,50.0
7.0,19.0,0.072446,50.0
9.0,18.0,0.097649,50.0
9.0,18.0,0.092023,50.0
9.0,17.0,0.093293,50.0
9.0,19.0,0.101137,50.0
9.0,20.0,0.094423,50.0
9.0,19.0,0.065108,50.0
9.0,17.0,0.093881,50.0
9.0,18.0,0.094749,50.0
9.0,17.0,0.096286,50.0
9.0,18.0,0.094894,50.0
10.0,18.0,0.103621,50.0
10.0,19.0,0.102962,50.0
10.0,17.0,0.104809,50.0
10.0,18.0,0.115121,50.0
10.0,19.0,0.104913,50.0
10.0,18.0,0.102345,50.0
10.0,18.0,0.073849,50.0
10.0,19.0,0.106916,50.0
10.0,18.0,0.105026,50.0
10.0,17.0,0.104507,50.0
12.0,19.0,0.12459,50.0
12.0,19.0,0.098548,50.0
12.0,18.0,0.125647,50.0
12.0,19.0,0.131876,50.0
12.0,18.0,0.129941,50.0
12.0,18.0,0.082919,50.0
12.0,18.0,0.124893,50.0
12.0,20.0,0.128309,50.0
12.0,19.0,0.134434,50.0
12.0,19.0,0.133692,50.0
15.0,20.0,0.160342,50.0
15.0,20.0,0.166514,50.0
15.0,18.0,0.169494,50.0
15.0,19.0,0.160741,50.0
15.0,19.0,0.169625,50.0
15.0,20.0,0.157586,50.0
15.0,19.0,0.158877,50.0
15.0,20.0,0.158736,50.0
15.0,21.0,0.12555,50.0
15.0,19.0,0.161952,50.0
17.0,19.0,0.162403,50.0
17.0,20.0,0.181585,50.0
17.0,19.0,0.181869,50.0
17.0,20.0,0.177708,50.0
17.0,18.0,0.188,50.0
17.0,19.0,0.191602,50.0
17.0,19.0,0.174725,50.0
17.0,20.0,0.114462,50.0
17.0,19.0,0.183654,50.0
17.0,20.0,0.198941,50.0
21.0,20.0,0.225768,50.0
21.0,20.0,0.230053,50.0
21.0,21.0,0.241748,50.0
21.0,18.0,0.239003,50.0
21.0,19.0,0.234504,50.0
21.0,22.0,0.232155,50.0
21.0,20.0,0.235773,50.0
21.0,22.0,0.19353,50.0
21.0,22.0,0.232189,50.0
21.0,20.0,0.241358,50.0
24.0,19.0,0.261304,50.0
24.0,21.0,0.275579,50.0
24.0,18.0,0.2651,50.0
24.0,20.0,0.275192,50.0
24.0,20.0,0.262016,50.0
24.0,23.0,0.293494,50.0
24.0,19.0,0.221033,50.0
24.0,22.0,0.267076,50.0
24.0,19.0,0.270856,50.0
24.0,19.0,0.262254,50.0
29.0,22.0,0.32246,50.0
29.0,21.0,0.35208,50.0
29.0,22.0,0.317875,50.0
29.0,20.0,0.313498,50.0
29.0,21.0,0.320531,50.0
29.0,23.0,0.287637,50.0
29.0,21.0,0.329161,50.0
29.0,22.0,0.286148,50.0
29.0,19.0,0.330668,50.0
29.0,21.0,0.330485,50.0
34.0,22.0,0.377908,50.0
34.0,20.0,0.487646,50.0
34.0,20.0,0.33379,50.0
34.0,22.0,0.394232,50.0
34.0,20.0,0.381081,50.0
34.0,19.0,0.383892,50.0
34.0,19.0,0.384312,50.0
34.0,22.0,0.390936,50.0
34.0,19.0,0.380389,50.0
34.0,19.0,0.388519,50.0
41.0,19.0,0.433399,50.0
41.0,22.0,0.483138,50.0
41.0,22.0,0.463623,50.0
41.0,22.0,0.486413,50.0
41.0,19.0,0.467842,50.0
41.0,21.0,0.479355,50.0
41.0,22.0,0.416831,50.0
41.0,21.0,0.469435,50.0
41.0,21.0,0.482014,50.0
41.0,22.0,0.502598,50.0
49.0,21.0,0.57923,50.0
49.0,24.0,0.598366,50.0
49.0,19.0,0.474198,50.0
49.0,21.0,0.561344,50.0
49.0,23.0,0.598759,50.0
49.0,20.0,0.568758,50.0
49.0,24.0,0.602729,50.0
49.0,21.0,0.572149,50.0
49.0,22.0,0.571593,50.0
49.0,19.0,0.566944,50.0
58.0,22.0,0.681265,50.0
58.0,21.0,0.685241,50.0
58.0,23.0,0.704853,50.0
58.0,21.0,0.676135,50.0
58.0,24.0,0.477247,50.0
58.0,20.0,0.675518,50.0
58.0,23.0,0.688203,50.0
58.0,22.0,0.677734,50.0
58.0,22.0,0.724431,50.0
58.0,23.0,0.684432,50.0
68.0,23.0,0.827911,50.0
68.0,21.0,0.795916,50.0
68.0,20.0,0.785478,50.0
68.0,22.0,0.802782,50.0
68.0,22.0,0.797864,50.0
68.0,20.0,0.792797,50.0
68.0,22.0,0.834852,50.0
68.0,23.0,0.530501,50.0
68.0,20.0,0.808436,50.0
68.0,22.0,0.820077,50.0
81.0,23.0,1.001513,50.0
81.0,22.0,0.95183,50.0
81.0,22.0,0.927312,50.0
81.0,21.0,0.94514,50.0
81.0,23.0,0.984874,50.0
81.0,22.0,0.753495,50.0
81.0,19.0,0.93084,50.0
81.0,22.0,0.836033,50.0
81.0,20.0,0.945132,50.0
81.0,22.0,0.954541,50.0
96.0,22.0,1.170892,50.0
96.0,20.0,1.109957,50.0
96.0,24.0,1.173117,50.0
