Iterations,Markets visited
1.0,7.3
1.0,7.9
1.0,7.4
1.0,7.4
1.0,8.0
2.0,7.7
2.0,8.1
3.0,8.5
3.0,8.8
4.0,8.9
5.0,8.8
6.0,8.7
7.0,8.9
9.0,8.0
10.0,8.9
12.0,9.7
15.0,9.0
17.0,9.7
21.0,9.0
24.0,9.0
29.0,8.8
34.0,8.9
41.0,9.6
49.0,9.9
58.0,10.0
68.0,9.5
81.0,9.8
96.0,10.0
114.0,10.0
135.0,10.0
160.0,9.9
190.0,9.8
225.0,10.0
266.0,9.0
315.0,10.0
374.0,9.5
443.0,10.0
524.0,9.9
621.0,10.0
736.0,10.8
871.0,11.0
1032.0,10.8
1223.0,9.7
1448.0,11.0
1715.0,9.0
2032.0,10.5
2407.0,9.8
2851.0,9.9
3377.0,10.0
4000.0,10.0
