Iterations,Markets visited,runtimes,population_size
1.0,4.0,0.003653,50.0
1.0,4.0,0.004333,50.0
1.0,4.0,0.002774,50.0
1.0,4.0,0.002489,50.0
1.0,4.0,0.004674,50.0
1.0,4.0,0.004233,50.0
1.0,4.0,0.002569,50.0
1.0,4.0,0.004773,50.0
1.0,4.0,0.004683,50.0
1.0,4.0,0.004569,50.0
2.0,4.0,0.008938,50.0
2.0,4.0,0.009087,50.0
2.0,4.0,0.008925,50.0
2.0,4.0,0.005084,50.0
2.0,4.0,0.009343,50.0
2.0,4.0,0.008948,50.0
2.0,4.0,0.009592,50.0
2.0,4.0,0.009367,50.0
2.0,4.0,0.009609,50.0
2.0,4.0,0.009385,50.0
3.0,4.0,0.013116,50.0
3.0,4.0,0.013705,50.0
3.0,4.0,0.008608,50.0
3.0,4.0,0.014151,50.0
3.0,4.0,0.014471,50.0
3.0,4.0,0.013729,50.0
3.0,4.0,0.013686,50.0
3.0,4.0,0.014345,50.0
3.0,4.0,0.014495,50.0
3.0,4.0,0.013663,50.0
4.0,4.0,0.01893,50.0
4.0,4.0,0.018644,50.0
4.0,4.0,0.018471,50.0
4.0,4.0,0.018649,50.0
4.0,4.0,0.018817,50.0
4.0,4.0,0.018604,50.0
4.0,4.0,0.018085,50.0
4.0,4.0,0.014766,50.0
4.0,4.0,0.009996,50.0
4.0,4.0,0.01934,50.0
5.0,4.0,0.023241,50.0
5.0,4.0,0.02398,50.0
5.0,4.0,0.024186,50.0
5.0,4.0,0.023081,50.0
5.0,4.0,0.023897,50.0
5.0,4.0,0.022302,50.0
5.0,4.0,0.024073,50.0
5.0,4.0,0.023866,50.0
5.0,4.0,0.02231,50.0
5.0,4.0,0.022593,50.0
6.0,4.0,0.027137,50.0
6.0,4.0,0.026332,50.0
6.0,4.0,0.015772,50.0
6.0,4.0,0.02631,50.0
6.0,4.0,0.028072,50.0
6.0,4.0,0.029247,50.0
6.0,4.0,0.0291,50.0
6.0,4.0,0.015446,50.0
6.0,4.0,0.028418,50.0
6.0,4.0,0.025697,50.0
7.0,4.0,0.033976,50.0
7.0,4.0,0.034449,50.0
7.0,4.0,0.030496,50.0
7.0,4.0,0.03205,50.0
7.0,4.0,0.029859,50.0
7.0,4.0,0.033989,50.0
7.0,4.0,0.03475,50.0
7.0,4.0,0.032297,50.0
7.0,4.0,0.03022,50.0
7.0,4.0,0.018074,50.0
9.0,4.0,0.022425,50.0
9.0,4.0,0.043917,50.0
9.0,4.0,0.038667,50.0
9.0,4.0,0.044516,50.0
9.0,4.0,0.04454,50.0
9.0,4.0,0.043753,50.0
9.0,4.0,0.044411,50.0
9.0,4.0,0.044573,50.0
9.0,4.0,0.038958,50.0
9.0,4.0,0.042148,50.0
10.0,4.0,0.043162,50.0
10.0,4.0,0.042362,50.0
10.0,4.0,0.044648,50.0
10.0,4.0,0.042587,50.0
10.0,4.0,0.046553,50.0
10.0,4.0,0.025914,50.0
10.0,4.0,0.049115,50.0
10.0,4.0,0.024885,50.0
10.0,4.0,0.048352,50.0
10.0,4.0,0.049387,50.0
12.0,4.0,0.057919,50.0
12.0,4.0,0.051183,50.0
12.0,4.0,0.058595,50.0
12.0,4.0,0.052693,50.0
12.0,4.0,0.062011,50.0
12.0,4.0,0.054163,50.0
12.0,4.0,0.058401,50.0
12.0,4.0,0.05524,50.0
12.0,4.0,0.052685,50.0
12.0,4.0,0.051955,50.0
15.0,4.0,0.066523,50.0
15.0,4.0,0.039091,50.0
15.0,4.0,0.07338,50.0
15.0,4.0,0.072694,50.0
15.0,4.0,0.037192,50.0
15.0,4.0,0.069202,50.0
15.0,4.0,0.070408,50.0
15.0,4.0,0.073251,50.0
15.0,4.0,0.069985,50.0
15.0,4.0,0.070075,50.0
17.0,4.0,0.081519,50.0
17.0,4.0,0.078139,50.0
17.0,4.0,0.08256,50.0
17.0,4.0,0.083542,50.0
17.0,4.0,0.081003,50.0
17.0,4.0,0.078769,50.0
17.0,4.0,0.080282,50.0
17.0,4.0,0.044571,50.0
17.0,4.0,0.077426,50.0
17.0,4.0,0.084682,50.0
21.0,4.0,0.104857,50.0
21.0,4.0,0.102608,50.0
21.0,4.0,0.095163,50.0
21.0,4.0,0.059179,50.0
21.0,4.0,0.094948,50.0
21.0,4.0,0.07458,50.0
21.0,4.0,0.101918,50.0
21.0,4.0,0.0937,50.0
21.0,4.0,0.094072,50.0
21.0,4.0,0.102584,50.0
24.0,4.0,0.107712,50.0
24.0,4.0,0.112853,50.0
24.0,4.0,0.113947,50.0
24.0,4.0,0.067503,50.0
24.0,4.0,0.112889,50.0
24.0,4.0,0.115464,50.0
24.0,4.0,0.113039,50.0
24.0,4.0,0.11181,50.0
24.0,4.0,0.117609,50.0
24.0,4.0,0.11714,50.0
29.0,4.0,0.14457,50.0
29.0,4.0,0.127277,50.0
29.0,4.0,0.140876,50.0
29.0,4.0,0.140317,50.0
29.0,4.0,0.132744,50.0
29.0,4.0,0.144103,50.0
29.0,4.0,0.125417,50.0
29.0,4.0,0.135728,50.0
29.0,4.0,0.076409,50.0
29.0,4.0,0.071025,50.0
34.0,4.0,0.167587,50.0
34.0,4.0,0.166489,50.0
34.0,4.0,0.167439,50.0
34.0,4.0,0.155569,50.0
34.0,4.0,0.16211,50.0
34.0,4.0,0.167328,50.0
34.0,4.0,0.163937,50.0
34.0,4.0,0.167865,50.0
34.0,4.0,0.085494,50.0
34.0,4.0,0.16821,50.0
41.0,4.0,0.189477,50.0
41.0,4.0,0.199103,50.0
41.0,4.0,0.188355,50.0
41.0,4.0,0.188801,50.0
41.0,4.0,0.1925,50.0
41.0,4.0,0.102971,50.0
41.0,4.0,0.185982,50.0
41.0,4.0,0.200035,50.0
41.0,4.0,0.205451,50.0
41.0,4.0,0.1999,50.0
49.0,4.0,0.218835,50.0
49.0,4.0,0.224121,50.0
49.0,4.0,0.237178,50.0
49.0,4.0,0.246011,50.0
49.0,4.0,0.237232,50.0
49.0,4.0,0.24305,50.0
49.0,4.0,0.234067,50.0
49.0,4.0,0.225411,50.0
49.0,4.0,0.220226,50.0
49.0,4.0,0.151769,50.0
