Iterations,Markets visited,runtimes,population_size
1.0,11.0,0.005187,50.0
1.0,11.0,0.005399,50.0
1.0,11.0,0.005987,50.0
1.0,10.0,0.006574,50.0
1.0,11.0,0.006242,50.0
1.0,10.0,0.006967,50.0
1.0,13.0,0.00715,50.0
1.0,11.0,0.006818,50.0
1.0,12.0,0.006155,50.0
1.0,12.0,0.006866,50.0
2.0,12.0,0.010338,50.0
2.0,11.0,0.013055,50.0
2.0,11.0,0.012238,50.0
2.0,11.0,0.013542,50.0
2.0,11.0,0.011856,50.0
2.0,10.0,0.012883,50.0
2.0,11.0,0.010574,50.0
2.0,11.0,0.012931,50.0
2.0,12.0,0.013468,50.0
2.0,11.0,0.012422,50.0
3.0,12.0,0.019959,50.0
3.0,11.0,0.020253,50.0
3.0,12.0,0.019283,50.0
3.0,12.0,0.020882,50.0
3.0,11.0,0.021386,50.0
3.0,11.0,0.021165,50.0
3.0,10.0,0.020739,50.0
3.0,11.0,0.021433,50.0
3.0,11.0,0.019146,50.0
3.0,11.0,0.018248,50.0
4.0,12.0,0.025919,50.0
4.0,12.0,0.018247,50.0
4.0,12.0,0.027357,50.0
4.0,12.0,0.024824,50.0
4.0,12.0,0.028172,50.0
4.0,12.0,0.026149,50.0
4.0,13.0,0.026983,50.0
4.0,12.0,0.027455,50.0
4.0,12.0,0.026372,50.0
4.0,13.0,0.024717,50.0
5.0,12.0,0.035621,50.0
5.0,13.0,0.021482,50.0
5.0,13.0,0.032997,50.0
5.0,13.0,0.032929,50.0
5.0,12.0,0.03148,50.0
5.0,13.0,0.033336,50.0
5.0,13.0,0.032935,50.0
5.0,12.0,0.020262,50.0
5.0,13.0,0.03553,50.0
5.0,14.0,0.032011,50.0
6.0,13.0,0.04078,50.0
6.0,13.0,0.039381,50.0
6.0,12.0,0.040668,50.0
6.0,13.0,0.039381,50.0
6.0,13.0,0.040342,50.0
6.0,12.0,0.038304,50.0
6.0,12.0,0.03815,50.0
6.0,12.0,0.039355,50.0
