Iterations,Markets visited,runtimes,population_size
1.0,14.0,0.005633,50.0
1.0,12.0,0.004778,50.0
1.0,11.0,0.005774,50.0
1.0,12.0,0.008892,50.0
1.0,11.0,0.006087,50.0
1.0,11.0,0.005915,50.0
1.0,11.0,0.0065,50.0
1.0,11.0,0.006739,50.0
1.0,11.0,0.006758,50.0
1.0,12.0,0.006167,50.0
2.0,12.0,0.011657,50.0
2.0,11.0,0.008501,50.0
2.0,11.0,0.016877,50.0
2.0,12.0,0.012405,50.0
2.0,11.0,0.01297,50.0
2.0,11.0,0.010605,50.0
2.0,12.0,0.012389,50.0
2.0,11.0,0.01306,50.0
2.0,11.0,0.012316,50.0
2.0,12.0,0.012843,50.0
3.0,12.0,0.019973,50.0
3.0,11.0,0.01882,50.0
3.0,12.0,0.015987,50.0
3.0,15.0,0.019914,50.0
3.0,12.0,0.020666,50.0
3.0,12.0,0.020985,50.0
3.0,12.0,0.020278,50.0
3.0,12.0,0.012726,50.0
3.0,12.0,0.018891,50.0
3.0,12.0,0.02015,50.0
4.0,12.0,0.026028,50.0
4.0,12.0,0.026274,50.0
4.0,12.0,0.028952,50.0
4.0,12.0,0.026434,50.0
4.0,13.0,0.026644,50.0
4.0,12.0,0.025685,50.0
4.0,12.0,0.02896,50.0
4.0,11.0,0.026588,50.0
4.0,12.0,0.027951,50.0
4.0,12.0,0.02647,50.0
5.0,13.0,0.02978,50.0
5.0,12.0,0.022077,50.0
5.0,11.0,0.033988,50.0
5.0,12.0,0.031869,50.0
5.0,12.0,0.034284,50.0
5.0,12.0,0.032212,50.0
5.0,12.0,0.038995,50.0
5.0,13.0,0.035909,50.0
5.0,12.0,0.036618,50.0
5.0,13.0,0.034993,50.0
6.0,11.0,0.032358,50.0
6.0,13.0,0.031261,50.0
6.0,12.0,0.041323,50.0
6.0,12.0,0.04222,50.0
6.0,12.0,0.037668,50.0
6.0,12.0,0.039216,50.0
6.0,12.0,0.039287,50.0
6.0,12.0,0.040924,50.0
6.0,12.0,0.039013,50.0
6.0,13.0,0.039239,50.0
7.0,13.0,0.054945,50.0
7.0,12.0,0.02969,50.0
7.0,13.0,0.047468,50.0
7.0,13.0,0.0473,50.0
7.0,13.0,0.049407,50.0
7.0,13.0,0.050563,50.0
7.0,13.0,0.046306,50.0
7.0,14.0,0.048391,50.0
7.0,12.0,0.037876,50.0
7.0,13.0,0.056157,50.0
9.0,13.0,0.059504,50.0
9.0,12.0,0.073458,50.0
9.0,13.0,0.058638,50.0
9.0,13.0,0.059934,50.0
9.0,13.0,0.060122,50.0
9.0,14.0,0.060566,50.0
9.0,14.0,0.049734,50.0
9.0,13.0,0.06808,50.0
9.0,13.0,0.060682,50.0
9.0,13.0,0.064136,50.0
10.0,13.0,0.070088,50.0
10.0,13.0,0.06799,50.0
10.0,13.0,0.044452,50.0
10.0,14.0,0.076109,50.0
10.0,15.0,0.068535,50.0
10.0,14.0,0.065093,50.0
10.0,14.0,0.064637,50.0
10.0,13.0,0.064332,50.0
10.0,13.0,0.064301,50.0
10.0,13.0,0.068774,50.0
12.0,13.0,0.080774,50.0
12.0,13.0,0.078584,50.0
12.0,13.0,0.080511,50.0
12.0,13.0,0.086508,50.0
12.0,15.0,0.085465,50.0
12.0,13.0,0.073872,50.0
12.0,13.0,0.089076,50.0
12.0,12.0,0.077781,50.0
12.0,14.0,0.088715,50.0
12.0,14.0,0.084059,50.0
15.0,13.0,0.10797,50.0
15.0,14.0,0.110996,50.0
15.0,13.0,0.102215,50.0
15.0,14.0,0.100431,50.0
15.0,14.0,0.104416,50.0
15.0,14.0,0.072864,50.0
15.0,15.0,0.10865,50.0
15.0,14.0,0.100646,50.0
15.0,14.0,0.109665,50.0
15.0,14.0,0.112,50.0
17.0,13.0,0.126577,50.0
17.0,15.0,0.131959,50.0
17.0,15.0,0.096276,50.0
17.0,14.0,0.1177,50.0
17.0,14.0,0.119053,50.0
17.0,14.0,0.114339,50.0
17.0,14.0,0.112515,50.0
17.0,14.0,0.121734,50.0
17.0,13.0,0.122744,50.0
17.0,14.0,0.12253,50.0
21.0,14.0,0.142563,50.0
21.0,15.0,0.14688,50.0
21.0,14.0,0.144861,50.0
21.0,15.0,0.150627,50.0
21.0,14.0,0.14809,50.0
21.0,14.0,0.160732,50.0
21.0,16.0,0.15913,50.0
21.0,15.0,0.166819,50.0
21.0,13.0,0.144665,50.0
21.0,13.0,0.145306,50.0
24.0,16.0,0.177972,50.0
24.0,15.0,0.136495,50.0
24.0,14.0,0.170458,50.0
24.0,14.0,0.172963,50.0
24.0,15.0,0.1722,50.0
24.0,14.0,0.178651,50.0
24.0,15.0,0.169174,50.0
24.0,15.0,0.171032,50.0
24.0,14.0,0.151116,50.0
24.0,15.0,0.184958,50.0
29.0,14.0,0.214175,50.0
29.0,15.0,0.224353,50.0
29.0,15.0,0.208959,50.0
29.0,15.0,0.215325,50.0
29.0,15.0,0.200111,50.0
29.0,16.0,0.211848,50.0
29.0,16.0,0.231937,50.0
29.0,14.0,0.216524,50.0
29.0,13.0,0.218604,50.0
29.0,15.0,0.210903,50.0
34.0,14.0,0.261015,50.0
34.0,15.0,0.259057,50.0
34.0,14.0,0.250256,50.0
34.0,15.0,0.207466,50.0
34.0,15.0,0.246752,50.0
34.0,15.0,0.274613,50.0
34.0,15.0,0.242149,50.0
34.0,14.0,0.257683,50.0
34.0,14.0,0.271077,50.0
34.0,15.0,0.204987,50.0
41.0,15.0,0.282223,50.0
41.0,15.0,0.327077,50.0
41.0,15.0,0.332186,50.0
41.0,16.0,0.330847,50.0
41.0,16.0,0.297814,50.0
41.0,14.0,0.30313,50.0
41.0,16.0,0.317282,50.0
41.0,15.0,0.238717,50.0
41.0,17.0,0.308341,50.0
41.0,15.0,0.280894,50.0
49.0,16.0,0.400252,50.0
49.0,17.0,0.388341,50.0
49.0,15.0,0.381875,50.0
49.0,16.0,0.400403,50.0
49.0,16.0,0.399509,50.0
49.0,14.0,0.356217,50.0
49.0,16.0,0.344576,50.0
49.0,14.0,0.353017,50.0
49.0,15.0,0.35932,50.0
49.0,16.0,0.356158,50.0
58.0,15.0,0.445852,50.0
58.0,16.0,0.454861,50.0
58.0,17.0,0.452957,50.0
58.0,14.0,0.419767,50.0
58.0,16.0,0.347586,50.0
58.0,16.0,0.428241,50.0
58.0,15.0,0.481458,50.0
58.0,15.0,0.440086,50.0
58.0,15.0,0.415387,50.0
58.0,15.0,0.405591,50.0
68.0,16.0,0.503602,50.0
68.0,17.0,0.509698,50.0
68.0,16.0,0.540924,50.0
68.0,16.0,0.511079,50.0
68.0,15.0,0.52112,50.0
68.0,15.0,0.528357,50.0
68.0,15.0,0.516702,50.0
68.0,14.0,0.509247,50.0
68.0,16.0,0.515216,50.0
68.0,16.0,0.510899,50.0
81.0,15.0,0.604714,50.0
81.0,17.0,0.646526,50.0
81.0,16.0,0.62898,50.0
81.0,17.0,0.647254,50.0
81.0,15.0,0.609469,50.0
81.0,16.0,0.611381,50.0
81.0,16.0,0.604592,50.0
81.0,15.0,0.651869,50.0
81.0,15.0,0.620108,50.0
81.0,15.0,0.656941,50.0
96.0,16.0,0.747099,50.0
96.0,15.0,0.748378,50.0
96.0,15.0,0.605745,50.0
96.0,16.0,0.759131,50.0
96.0,15.0,0.718983,50.0
96.0,16.0,0.793901,50.0
96.0,16.0,0.781045,50.0
96.0,16.0,0.717276,50.0
96.0,15.0,0.791935,50.0
96.0,16.0,0.789718,50.0
114.0,17.0,0.883636,50.0
114.0,14.0,0.869093,50.0
114.0,16.0,0.936106,50.0
114.0,16.0,0.919081,50.0
114.0,16.0,0.908634,50.0
114.0,16.0,0.884048,50.0
114.0,17.0,0.91209,50.0
114.0,15.0,0.953143,50.0
114.0,15.0,0.849718,50.0
114.0,17.0,0.900102,50.0
135.0,16.0,1.164749,50.0
135.0,16.0,1.112966,50.0
135.0,16.0,1.034043,50.0
135.0,16.0,1.047969,50.0
135.0,16.0,1.013966,50.0
135.0,16.0,0.864689,50.0
135.0,16.0,1.156975,50.0
135.0,16.0,1.081887,50.0
135.0,16.0,1.091008,50.0
135.0,16.0,1.051938,50.0
160.0,16.0,1.261438,50.0
160.0,16.0,1.262536,50.0
160.0,15.0,1.255191,50.0
160.0,15.0,1.159924,50.0
160.0,17.0,1.222033,50.0
160.0,16.0,1.311322,50.0
160.0,16.0,1.384615,50.0
160.0,16.0,1.26404,50.0
160.0,16.0,1.145606,50.0
160.0,16.0,1.133684,50.0
190.0,17.0,1.588902,50.0
190.0,15.0,1.446788,50.0
190.0,15.0,1.502721,50.0
190.0,15.0,1.435955,50.0
190.0,17.0,1.607978,50.0
190.0,16.0,1.521179,50.0
190.0,16.0,1.575927,50.0
190.0,15.0,1.40031,50.0
190.0,15.0,1.57763,50.0
190.0,15.0,1.434537,50.0
225.0,17.0,2.034052,50.0
225.0,17.0,1.728476,50.0
225.0,16.0,1.823881,50.0
225.0,15.0,1.802071,50.0
225.0,17.0,1.944085,50.0
225.0,16.0,1.704994,50.0
225.0,17.0,1.800779,50.0
225.0,17.0,1.964436,50.0
225.0,15.0,1.83988,50.0
225.0,15.0,1.759421,50.0
266.0,16.0,2.080116,50.0
266.0,16.0,2.166713,50.0
266.0,17.0,2.189018,50.0
266.0,16.0,2.155129,50.0
266.0,16.0,2.086605,50.0
266.0,16.0,2.181629,50.0
266.0,16.0,2.202753,50.0
266.0,16.0,2.14361,50.0
266.0,16.0,2.066207,50.0
266.0,16.0,2.091274,50.0
315.0,15.0,2.365424,50.0
315.0,14.0,2.546118,50.0
315.0,17.0,2.449646,50.0
315.0,16.0,2.607447,50.0
315.0,16.0,2.740092,50.0
315.0,16.0,2.492,50.0
