name,link,opening,closing,coords,lat,lng
0,MQ, https://g.page/weihnachtsquartier?share, 14:00, 23:00,"('48.202999', '16.3595479')",48.202999,16.3595479
1,Altes AKH, https://goo.gl/maps/vLFEPeaSVHzfksP77, 11:00, 23:00,"('48.2161089', '16.3507476')",48.2161089,16.3507476
2,Am Hof, https://goo.gl/maps/2cMY3oeEZbqstDtP6, 10:00, 21:00,"('48.2110893', '16.3668794')",48.2110893,16.3668794
3,Spittelberg, https://goo.gl/maps/M1cs1DnR1NJRnzPy5, 10:00, 21:30,"('48.203354', '16.3533211')",48.203354,16.3533211
4,Stephansplatz, https://goo.gl/maps/Bg3JX4wNoKwmnpv5A, 11:00, 21:00,"('48.2083234', '16.3724435')",48.2083234,16.3724435
5,Opera, https://goo.gl/maps/zRGFceVt4vgKmicm7, 11:00, 21:00,"('48.2046241', '16.3703338')",48.2046241,16.3703338
6,Türkenschanzpark, https://goo.gl/maps/SmpWwiEbWanCXuLUA, 12:00, 22:00,"('48.2365882', '16.299168')",48.2365882,16.299168
7,Maria-Theresien-Platz, https://goo.gl/maps/dLFGPAZB7E5UHQNt6, 11:00, 21:00,"('48.2050248', '16.3582693')",48.2050248,16.3582693
8,Blumengärten Hirschstetten, https://goo.gl/maps/UodxLTKcLArtyG9i8, 10:00, 22:00,"('48.2381235', '16.4743064')",48.2381235,16.4743064
9,Palais Liechtenstein, https://goo.gl/maps/qnUX4zmdazoCtY3x9, 11:00, 21:00,"('48.2241405', '16.352594')",48.2241405,16.352594
10,Belvedere, https://g.page/belvederemuseum?share, 10:00, 21:00,"('48.1914751', '16.3809322')",48.1914751,16.3809322
11,Karlsplatz, https://goo.gl/maps/9UAJTtsxSRAmrPuU7, 12:00, 20:00,"('48.197676', '16.3696919')",48.197676,16.3696919
12,Messe, https://goo.gl/maps/mgUHYBriHmwAFcK19, 14:00, 22:00,"('48.1993311', '16.3177638')",48.1993311,16.3177638
13,Altwiener Christkindlmarkt, https://goo.gl/maps/QbTxRmduaxttA3Tz5, 10:00, 21:00,"('48.2113909', '16.3648319')",48.2113909,16.3648319
14,Biobauern-Adventmarkt, https://goo.gl/maps/Fc8DGKbv3aMZjVec7, 10:00, 19:30,"('48.2113909', '16.3648319')",48.2113909,16.3648319
15,Rathaus, https://goo.gl/maps/Xq7g7TsExSszrhsB6, 10:00, 21:30,"('48.2105267', '16.3590678')",48.2105267,16.3590678
16,Schönbrunn, https://goo.gl/maps/KY6oixzsxM5PVjvb8, 10:00, 21:00,"('48.1860261', '16.3112799')",48.1860261,16.3112799
17,Prater / Riesenrad, https://goo.gl/maps/bJ2obKMdq2nZWiQE6, 11:00, 22:00,"('48.2170841', '16.3941837')",48.2170841,16.3941837
18,Mittelalterlicher Adventmarkt, https://goo.gl/maps/r2EJuj1KivV2HmYj9, 09:00, 22:00,"('48.1849955', '16.3883483')",48.1849955,16.3883483
19,Weihnachtsmarkt am Michaelerplatz, https://goo.gl/maps/vyGZaJK2gnvRvje98, 10:00, 20:00,"('48.207941', '16.366853')",48.207941,16.366853
20,Schloss Wilhelminenberg, https://goo.gl/maps/LYSYyQ6LfiwkFGXq8, 11:00, 20:00,"('48.2195401', '16.2860564')",48.2195401,16.2860564
21,Advent in der Stallburg, https://goo.gl/maps/tiqojzWBSU2VVfTw9, 11:00, 20:00,"('48.2071865', '16.3652063')",48.2071865,16.3652063
22,Adventmarkt Mariahilf, https://goo.gl/maps/KhmGod5UH9k7GFYp9, 09:00, 20:00,"('48.199234', '16.3483456')",48.199234,16.3483456
23,IKEA Westbahnhof, https://goo.gl/maps/fV8e9wMTG611ZJTZ6, 14:00, 20:00,"('48.1954759', '16.3360935')",48.1954759,16.3360935
24,Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), https://goo.gl/maps/cRwood7CfKZVjyCe8, 09:00, 21:00,"('48.2562727', '16.3985077')",48.2562727,16.3985077
25,Adventmark Verkehrsmuseum Remise, https://goo.gl/maps/6PJ6FzGiNYF7LQun7, 14:00, 21:00,"('48.1964638', '16.4067507')",48.1964638,16.4067507
26,Weihnacht im Wald, https://goo.gl/maps/UaQ2izUcyZzfHr1GA, 16:00, 21:00,"('48.2073733', '16.4027231')",48.2073733,16.4027231
27,Adventmarkt Favoriten, https://goo.gl/maps/5a92CE7tc1PdRnVo6, 10:00, 20:30,"('48.180165', '16.375487')",48.180165,16.375487
28,Winterzauber im Böhmischen Prater, https://goo.gl/maps/u6Smhr98B1iztBrg8, 11:00, 20:00,"('48.1668166', '16.3990148')",48.1668166,16.3990148
29,Adventmarkt Meidling, https://goo.gl/maps/pVgbJNCYryCeyaRt8, 10:00, 20:30,"('48.1813689', '16.3285918')",48.1813689,16.3285918
30,Ottakringer Weihnachtszauber, https://goo.gl/maps/X2yJEAZA8HF1c5Y86, 11:00, 22:00,"('48.2128557', '16.32487')",48.2128557,16.32487
31,Adventmarkt im Schloss Neugebäude, https://goo.gl/maps/SVhtiYyTX69Fnqw97, 10:00, 20:00,"('48.1605095', '16.4417122')",48.1605095,16.4417122
