name,market 0,market 1,market 2,market 3,market 4,market 5,market 6,market 7,market 8,market 9,market 10,market 11,market 12,market 13,market 14,market 15,market 16,market 17,market 18,market 19,market 20,market 21,market 22,market 23,market 24,market 25,market 26,market 27,market 28,market 29,market 30,market 31,market 32,market 33,market 34,market 35,market 36,market 37,market 38,market 39,market 40,market 41,market 42,market 43,market 44,market 45,market 46,market 47,market 48,market 49,market 50,market 51,market 52,market 53,market 54,market 55,market 56,market 57,market 58,market 59,market 60,market 61,market 62,market 63,market 64,market 65,market 66,market 67,market 68,market 69,market 70,market 71,market 72,market 73,market 74,market 75,market 76,market 77,market 78,market 79,market 80,market 81,market 82,market 83,market 84,market 85,market 86,market 87,market 88,market 89,market 90,market 91,market 92,market 93,market 94,market 95,market 96,market 97,market 98,market 99
market 0,0.0,4304.0,5865.22,3873.1,8601.54,6915.94,7486.18,4114.0,3881.65,4475.07,6504.21,7187.72,7287.52,7216.54,6752.5,7151.12,8461.46,4699.73,5423.09,11925.51,6449.01,2586.67,1026.55,9359.07,3439.39,8538.69,15916.56,1675.33,11399.5,1497.87,6972.83,6925.39,2096.57,6221.58,6328.71,9257.87,6133.13,4500.38,5159.07,3638.94,1947.17,1579.06,7261.2,9858.06,4814.66,6326.05,6103.48,8852.02,11480.02,9001.86,5327.79,642.6,1072.32,4205.04,1645.67,2212.35,3239.57,8764.04,4773.08,5409.77,8462.0,8359.67,6131.93,7835.83,1304.62,4450.12,7205.89,4386.85,4845.29,10385.86,5853.67,2516.65,11460.56,4454.62,13863.1,7937.07,4579.54,13836.09,9057.23,9877.27,6965.49,2891.95,2750.83,4142.42,6358.29,11522.29,10862.99,6682.15,1676.05,2633.41,4933.87,961.65,6001.78,8160.05,4093.74,1467.07,11058.01,2078.86,4451.63,5862.5
market 1,4304.0,0.0,2017.19,7753.63,5047.17,3688.16,7892.85,4845.79,3768.17,3229.39,7544.28,8227.8,6355.83,5564.39,4853.25,4574.28,5606.35,3137.07,5637.85,14359.07,2673.69,6811.99,4394.46,5155.32,7156.61,6188.65,11953.37,5287.58,9762.57,4096.62,5990.13,11023.09,5823.86,1970.17,3811.48,6821.69,5363.56,2465.19,4320.16,1709.67,3432.28,3385.58,3057.45,8049.89,8912.36,4454.37,4501.36,9258.69,8443.81,5668.05,3761.39,4474.29,4055.59,1089.96,5372.96,4190.79,1359.69,10993.84,573.21,1205.76,5128.19,5867.33,4487.79,4145.94,5031.9,643.75,8884.05,6866.41,7982.42,6422.67,6122.4,6736.57,9107.57,6247.1,9899.91,4340.54,5372.15,9584.68,8241.67,7814.92,11063.18,3737.19,3808.24,1605.03,6065.29,9714.12,11478.59,4068.51,4829.58,6360.69,8661.16,5101.36,4632.27,5351.37,7974.26,3167.88,8096.58,2358.64,5481.23,3294.01
market 2,5865.22,2017.19,0.0,9355.51,6245.5,5418.99,9907.94,6851.77,5783.25,5119.19,9559.37,10242.89,8224.07,7431.52,3467.19,6321.92,7083.93,5026.87,7652.94,13736.52,4162.26,8387.33,5444.33,5201.74,8758.49,7857.02,12213.59,6889.47,11165.05,5698.5,7879.93,12624.34,6981.17,2025.2,5480.64,8490.06,7378.65,4354.98,6319.19,2226.95,4227.59,4987.46,3744.74,9782.2,10513.61,6321.5,6368.48,11273.78,9367.56,3708.13,5651.18,6058.91,5190.74,1765.27,6327.93,5792.68,3197.98,12981.96,1462.58,2503.34,3168.27,7538.32,3101.72,5344.26,6189.21,2353.66,10826.21,8694.25,9810.25,7346.42,8137.48,8338.46,10510.04,8074.93,10740.75,5638.56,7378.13,8682.73,10256.76,9217.39,12664.44,5340.87,4330.85,3494.83,8080.38,11446.43,13493.67,5820.71,5765.75,7411.8,9541.84,6662.58,6463.05,6821.83,9576.15,4769.76,9245.79,3909.31,5234.96,1907.95
market 3,3873.1,7753.63,9355.51,0.0,10859.5,9173.89,8064.99,4879.59,5480.57,6733.02,6005.98,6370.81,8595.53,9014.45,10314.32,9409.07,10719.42,6957.69,6174.88,13908.5,9473.34,2696.11,4718.78,12564.66,1589.7,10640.17,18051.11,2554.06,13418.87,3780.67,8590.05,4258.46,4338.99,9671.21,8586.66,11277.24,7373.75,7086.76,6895.29,7200.75,5649.64,4460.65,10466.79,11877.42,1805.64,8473.76,8227.7,8800.0,13737.98,12563.67,7585.74,3601.17,4854.91,7655.29,4414.54,3817.64,6500.63,6629.51,8223.33,8616.07,12023.81,10461.15,9693.74,10756.66,4575.9,7863.68,5945.91,2951.06,2710.76,13179.27,6527.48,1590.88,13479.92,3388.15,16216.1,10433.41,5286.28,17027.15,10365.23,11896.63,4298.55,4701.89,6369.79,7020.5,7005.88,13541.65,8884.04,8940.1,5095.1,5025.92,7142.98,3386.32,7904.99,10418.0,1871.18,4618.52,13315.97,5626.68,8215.82,9424.3
market 4,8601.54,5047.17,6245.5,10859.5,0.0,2144.43,8071.77,6535.57,5498.61,4139.73,8471.14,9154.66,4936.02,3666.53,9322.51,2135.68,1047.78,4107.3,6773.86,20059.86,2404.64,10122.54,8948.45,3604.29,10003.14,2161.88,7599.31,8393.45,4873.84,7529.58,4628.28,14387.47,10230.92,4347.59,2333.01,2143.19,5673.02,4303.67,4510.33,6699.15,8498.95,7074.31,2967.08,3642.2,12276.74,3184.64,3509.18,9254.91,3582.84,7586.31,3584.65,8299.55,8692.87,6056.15,9780.02,7059.89,5431.84,11920.69,5166.5,4016.92,7916.86,1949.24,9222.63,1003.98,9438.96,4555.74,9810.91,8666.94,9782.95,2727.47,6783.1,9842.44,4218.83,8047.63,5764.29,751.02,6823.74,8061.43,6795.63,2926.18,14427.57,6208.78,8914.59,4600.84,6726.0,5042.8,11657.51,2222.65,9797.06,10767.75,13068.22,9178.78,3788.71,1159.33,10645.48,7129.86,3160.83,7197.25,10470.71,8028.85
market 5,6915.94,3688.16,5418.99,9173.89,2144.43,0.0,6867.95,4849.97,3813.0,2452.83,6785.53,7469.05,3812.12,2862.53,8248.04,1396.87,2503.71,2420.4,5088.26,18535.28,1393.4,8436.93,7430.33,4720.88,8317.53,2993.78,9336.04,6707.84,6621.13,5843.97,3382.62,12701.87,8706.34,3521.08,645.54,3626.82,3987.41,2613.1,2824.72,5357.72,6980.83,5388.7,2888.2,4855.02,10591.14,1762.4,2046.56,8131.0,5522.27,7821.27,1899.05,6613.94,7174.75,4714.72,8255.43,5374.28,3913.72,10235.08,3857.42,2862.11,7345.62,2672.46,7882.58,2073.0,7914.38,3196.74,8125.3,6981.33,8097.34,4464.2,5097.5,8156.83,5966.13,6362.02,7501.03,1718.34,5138.13,9562.37,6101.69,4673.48,12741.96,4523.18,7396.47,3082.72,5040.39,6519.25,10453.69,829.82,8278.93,9243.17,11543.64,7493.17,2282.8,2209.93,8959.87,5552.76,5100.26,5679.13,9129.28,6688.8
market 6,7486.18,7892.85,9907.94,8064.99,8071.77,6867.95,0.0,3511.64,4226.11,5015.48,2119.45,2451.0,3215.82,4455.8,11949.56,6100.5,7448.11,5290.82,2748.83,19144.88,7468.01,7412.38,8245.24,10894.6,6647.67,6537.58,15011.25,5840.7,8072.75,6169.36,3635.02,11576.36,9067.36,8972.49,6280.72,6961.38,3105.66,5759.92,4210.39,8196.31,8485.89,6295.63,8952.64,6473.44,9465.63,5187.19,5052.73,1365.7,10466.67,13183.73,5087.63,6843.78,8202.88,8359.33,8865.03,5293.75,6998.63,4332.31,8317.15,7922.17,12643.87,6358.56,11540.32,8458.63,8523.98,7554.91,3458.88,5323.24,5464.88,10747.47,1926.83,7150.83,8149.92,4703.93,13784.3,8103.98,2933.39,15736.09,4156.87,7131.03,11616.46,5016.28,9099.96,6568.56,1913.81,6981.35,3951.56,6350.86,8894.89,9852.77,12153.24,7661.83,4956.25,7028.08,6327.42,6685.41,10044.66,7462.95,11254.76,10439.67
market 7,4114.0,4845.79,6851.77,4879.59,6535.57,4849.97,3511.64,0.0,1218.39,2430.6,2947.63,3630.81,3895.93,4314.85,8741.78,4829.2,6330.52,2663.56,1422.02,15772.7,5233.24,4142.63,4873.06,8790.29,3706.68,5940.57,13727.19,2482.32,8719.26,2797.18,3890.45,8407.57,5708.98,6206.67,4262.74,6577.64,2674.15,2994.1,2195.69,4988.54,5113.71,2923.46,6773.91,7177.82,6296.84,3774.16,3528.1,4877.48,9349.08,10153.92,3204.82,3471.6,4830.7,5151.55,5492.85,1921.57,3796.91,6396.85,5270.09,5161.8,9614.06,5761.55,8332.54,6432.73,5151.8,4507.85,4287.06,2382.25,3498.26,8855.34,1879.13,3862.53,8780.32,1762.94,11892.17,6109.49,605.0,13320.73,5665.63,7197.03,8447.66,1689.36,5647.28,3568.4,2357.22,8842.05,7097.38,4616.18,5522.71,6480.59,8781.06,4303.45,3205.39,6018.42,4360.79,3287.77,8927.07,4170.25,7882.58,7231.89
market 8,3881.65,3768.17,5783.25,5480.57,5498.61,3813.0,4226.11,1218.39,0.0,1372.14,3773.23,4456.74,3498.31,3751.71,7792.5,4048.19,5358.53,1596.8,1866.8,15502.1,4166.48,4743.61,4602.46,7723.53,4590.52,5365.73,12690.22,3049.53,8144.42,2425.79,3384.09,9008.55,5673.16,5062.41,3225.77,6002.8,2289.43,1849.84,1532.22,4039.25,4435.54,2273.31,5629.65,6602.98,6897.82,3119.14,2896.56,5591.95,8377.09,9076.3,2224.85,3472.1,4526.0,4202.27,5222.25,1902.59,2799.18,7222.78,4192.47,4012.09,8536.44,5186.71,7383.26,5395.77,4881.2,3430.22,5113.0,3327.29,4443.3,7818.38,2397.57,4463.51,8205.48,2707.98,10855.21,5072.53,1759.34,12176.47,5268.02,6622.19,9048.64,1035.38,4942.9,2490.78,2593.48,8267.21,7811.85,3579.22,5252.1,6209.99,8510.46,4303.12,2630.54,5057.11,5305.83,2528.35,7955.08,3305.89,7230.66,6282.61
market 9,4475.07,3229.39,5119.19,6733.02,4139.73,2452.83,5015.48,2430.6,1372.14,0.0,4708.86,5392.38,3283.45,2781.61,7618.36,2689.3,3999.64,230.34,2802.43,16094.41,2800.03,5996.06,5194.77,6357.08,5876.67,4092.39,11331.34,4266.98,6953.21,3403.11,2917.75,10261.0,6265.48,4038.53,1865.6,4811.58,2469.93,836.18,1235.24,4112.18,4996.3,2947.83,4390.73,5411.77,8150.27,1879.76,1657.19,6381.32,7018.21,8249.77,865.97,4173.08,5086.76,3881.22,5814.57,2933.41,2547.06,8158.42,3528.41,2988.21,7709.91,3913.37,7209.12,4035.6,5473.52,2766.16,6048.63,4561.97,5677.97,6459.5,3245.03,5715.97,7014.26,3942.65,9496.32,3713.64,2836.88,11198.57,5335.79,5430.98,10301.1,2082.31,5503.67,1647.38,3187.92,7076.0,8601.22,2220.33,5844.42,6802.31,9102.77,5052.3,1555.48,3698.23,6540.5,3089.11,6596.2,3830.14,7791.42,6108.47
market 10,6504.21,7544.28,9559.37,6005.98,8471.14,6785.53,2119.45,2947.63,3773.23,4708.86,0.0,683.18,3856.72,5090.25,11496.67,6497.64,7998.96,5039.38,2340.26,17228.08,7385.59,6041.63,7349.88,10812.18,4588.66,7172.04,15562.11,4862.71,9068.24,5498.73,4239.23,9517.35,8055.53,8658.49,6198.3,7768.21,3091.25,5445.92,4127.97,7743.42,7815.26,5587.62,9117.31,7468.94,7406.62,5442.6,5196.55,2943.52,11017.53,12869.73,5005.21,6054.46,7486.01,7906.44,7968.33,4623.11,6545.74,3449.22,7968.59,7608.17,12329.87,6993.02,11087.43,8368.3,7627.28,7206.34,1339.44,3264.23,3345.44,10790.91,1815.82,5442.06,9145.41,2683.01,13827.74,8045.05,2358.0,15653.68,5279.32,8126.53,9557.45,4415.87,8348.82,6144.68,2425.34,8103.8,4422.31,6551.74,7999.38,8742.46,10766.85,6650.0,4873.83,7686.86,4207.97,5951.94,10595.52,6834.41,10584.13,9986.78
market 11,7187.39,8227.47,10242.55,6370.81,9154.32,7468.72,2451.0,3630.81,4456.41,5392.05,683.18,0.0,4539.9,5773.44,12179.86,7180.83,8682.15,5722.56,3023.45,17911.26,8068.78,6724.82,8033.07,11495.37,4953.49,7855.23,16245.29,5545.89,9751.43,6181.92,4922.42,9882.18,8738.72,9341.68,6881.48,8451.4,3774.44,6129.1,4811.15,8426.61,8498.44,6270.8,9800.5,8152.12,7771.45,6125.79,5879.73,3133.81,11700.71,13552.92,5688.4,6737.64,8169.19,8589.62,8651.51,5306.3,7228.93,3667.25,8651.77,8291.35,13013.05,7676.2,11770.62,9051.48,8310.46,7889.53,1557.46,3629.07,3563.46,11474.09,2499.01,5806.89,9828.6,3047.84,14510.92,8728.24,3041.18,16336.86,5962.5,8809.72,9922.28,5099.05,9032.01,6827.87,3108.52,8786.98,3779.5,7234.93,8682.57,9425.65,11450.04,7333.19,5557.01,8370.05,4425.99,6635.12,11278.7,7517.59,11267.31,10669.96
market 12,7287.52,6355.83,8224.07,8595.53,4936.02,3812.12,3215.82,3895.93,3498.31,3283.45,3856.72,4539.9,0.0,1320.05,10670.16,2964.75,4312.36,3272.79,2806.23,18906.87,4617.76,7858.57,8007.23,7949.11,7440.9,3401.84,11875.5,6198.26,5391.81,5897.31,538.73,12123.51,9077.93,6378.27,3166.68,3998.01,1379.56,3964.87,2356.29,7163.98,7808.76,5760.29,6116.42,3792.5,10012.78,2051.44,1916.99,4398.96,7330.92,10742.67,2640.55,6944.39,7899.21,7007.66,8627.02,5374.88,5598.86,7305.94,6654.85,5732.08,10202.8,3222.81,10260.92,5322.88,8285.97,5892.6,5196.16,6116.47,7086.28,7611.72,2714.48,7578.47,5468.98,5497.16,10648.55,4968.23,3670.27,12790.6,2335.54,4450.09,12163.6,4506.89,8316.12,4773.83,2058.16,4764.54,6801.56,3215.11,8656.87,9614.76,11915.22,7774.63,1886.55,3892.33,7948.81,5901.57,6908.91,6679.1,10603.87,9160.27
