market 0,market 1,market 2,market 3,market 4,market 5,market 6,market 7,market 8,market 9,market 10,market 11,market 12,market 13,market 14,market 15,market 16,market 17,market 18,market 19,market 20,market 21,market 22,market 23,market 24,market 25,market 26,market 27,market 28,market 29,market 30,market 31,market 32,market 33,market 34,market 35,market 36,market 37,market 38,market 39,market 40,market 41,market 42,market 43,market 44,market 45,market 46,market 47,market 48,market 49
market 0,0.0,10316.41,10204.69,7116.29,8211.26,7286.97,3480.52,4901.57,11141.36,2076.86,9626.8,12065.71,8615.16,3696.71,3999.32,3911.08,2199.25,8277.84,11108.03,2297.23,8714.66,8191.32,7438.22,5084.26,8539.33,12723.52,8181.08,15818.55,4879.89,12371.22,11080.6,8683.85,8534.9,5661.23,11345.73,4082.5,5229.45,10713.51,3042.46,8611.51,4774.72,4408.0,5760.62,4744.58,7158.19,6350.88,1346.26,2591.14,3571.22,12454.19
market 1,10316.41,0.0,3366.99,3855.05,6318.33,15165.29,10768.72,5483.66,1016.71,8806.16,2395.7,4411.51,14269.76,7031.71,9769.55,6563.97,8926.61,4618.31,2680.34,8448.05,3358.38,3812.99,2959.91,5534.69,4376.71,3377.08,2239.18,7129.04,8606.58,5243.94,8028.85,7461.08,4290.25,13539.55,1282.56,6302.73,5500.71,1472.73,7406.27,5559.92,11172.33,11402.92,15661.99,12654.98,5197.22,3991.11,10270.09,7914.5,9653.99,5326.9
market 2,10204.69,3366.99,0.0,3743.3,4166.48,14296.74,9900.17,6393.55,3930.81,9137.27,1369.34,2347.36,13048.3,6614.58,10644.92,7077.36,9257.71,2451.93,6024.4,8283.39,1782.76,2266.08,4367.17,5611.44,6725.21,3986.87,3718.26,6100.21,9856.97,2929.57,4920.78,10007.57,1999.02,12671.0,3278.62,7055.62,5296.94,1915.59,7822.54,8012.71,9950.87,10169.69,15497.34,13310.01,3618.7,5354.57,10105.43,8425.08,8600.26,3012.54
market 3,7116.29,3855.05,3743.3,0.0,3314.11,11640.6,7244.03,2761.38,4680.0,6033.92,2781.71,5819.92,10633.67,3715.0,7297.88,3703.47,6154.37,2157.69,5152.29,5202.93,1989.41,1634.04,1589.99,2111.62,4064.66,5758.42,1706.17,9232.17,6334.29,6125.43,5976.48,6948.52,2289.11,10014.86,4494.8,3521.05,1985.85,3748.42,4574.42,5118.96,7536.24,7737.04,12416.88,10107.8,2193.0,1975.32,7024.97,5226.67,5988.1,6208.4
market 4,8211.26,6318.33,4166.48,3314.11,0.0,11515.41,7118.83,4866.44,7322.46,7216.16,4521.94,5904.48,9613.96,4668.94,8677.9,5110.35,7336.6,2176.8,7956.37,6064.58,3408.6,2816.06,4905.6,4041.34,7218.49,7847.83,4519.55,9378.86,7902.1,5549.39,2919.13,9266.24,2580.21,9889.67,6720.26,5218.67,3633.06,5779.65,5819.21,7937.05,6898.48,7263.5,13058.24,11388.9,1437.11,4904.09,7617.92,6503.97,5818.92,5692.96
market 5,7286.97,15165.29,14296.74,11640.6,11515.41,0.0,4555.94,9929.54,15990.24,8048.3,13875.32,16075.63,8588.8,8262.21,9972.46,8997.12,8168.74,12103.26,16299.08,6867.24,12963.17,12447.01,12333.37,9863.67,13773.81,16972.03,13029.95,19828.48,10445.38,16381.15,14384.74,14234.63,12430.13,2224.44,15708.41,9254.06,9859.71,14962.03,8239.54,13982.91,5885.68,5485.18,5726.94,10587.37,10678.14,11459.64,6677.72,7926.59,5990.62,16464.12
market 6,3480.52,10768.72,9900.17,7244.03,7118.83,4555.94,0.0,5532.96,11593.67,4318.31,9478.74,11679.06,5149.04,3865.64,6125.17,4600.55,4438.76,7706.68,11902.5,2834.13,8566.6,8050.44,7936.8,5467.1,9377.24,12575.46,8633.38,15431.91,6306.2,11984.57,9988.17,9838.06,8033.56,2930.21,11311.84,4857.49,5463.14,10565.45,3842.97,9586.34,1417.17,988.16,8311.59,7986.25,6281.57,7063.06,2871.27,3893.48,1469.81,12067.54
market 7,4901.57,5483.66,6393.55,2761.38,4866.44,9929.54,5532.96,0.0,6308.61,3442.1,5431.96,8391.33,10422.3,1795.96,4587.9,1102.3,3562.54,4623.06,6359.76,3217.97,4674.74,4319.37,2603.3,842.24,3924.37,8052.13,3348.32,12144.18,3597.19,8696.84,7714.94,4773.69,4860.52,8303.8,6512.97,819.07,1263.73,6042.12,1922.61,4136.17,6382.98,6262.94,10219.49,7397.83,3786.95,1504.03,5037.45,2556.75,4866.06,8779.81
market 8,11141.36,1016.71,3930.81,4680.0,7322.46,15990.24,11593.67,6308.61,0.0,9631.11,3298.83,4853.97,15231.38,7856.67,10482.54,7388.92,9751.56,5521.44,2086.82,9273.0,4261.51,4716.12,3784.86,6359.65,4812.34,3832.53,3064.14,6808.46,9145.1,5786.45,8931.98,7833.22,5193.38,14364.5,1076.88,7127.68,6325.66,2015.24,8231.22,5903.81,12133.95,12334.75,16486.95,13465.56,6201.34,4816.06,11095.04,8739.45,10585.81,5869.42
market 9,2076.86,8806.16,9137.27,6033.92,7216.16,8048.3,4318.31,3442.1,9631.11,0.0,8559.38,10998.28,9373.02,2635.41,2039.21,2451.62,164.91,7210.42,9560.42,1759.21,7647.23,7123.9,5902.08,4000.4,6660.58,11494.23,6790.42,14751.13,3001.14,11303.8,10018.75,6805.11,7467.48,6422.56,9892.75,2623.03,4159.8,9484.22,1581.36,6732.77,5168.33,5048.29,7020.23,4336.47,6090.77,4832.65,2312.28,885.36,3929.51,11386.77
market 10,9626.8,2395.7,1369.34,2781.71,4521.94,13875.32,9478.74,5431.96,3298.83,8559.38,0.0,3292.01,12904.45,6036.68,9997.24,6357.54,8679.82,2500.42,5053.1,7705.5,1113.34,1758.79,3258.72,4765.69,5505.81,3373.78,2520.21,6606.49,9011.21,4124.44,5506.73,8788.17,2045.21,12249.58,2639.37,6209.87,4639.92,1304.7,7228.49,6793.31,9807.03,9971.75,14919.45,12732.12,3474.86,4246.12,9527.54,7880.73,8222.82,4207.4
market 11,12065.71,4411.51,2347.36,5819.92,5904.48,16075.63,11679.06,8391.33,4853.97,10998.28,3292.01,0.0,14827.19,8475.59,12505.93,8938.38,11118.73,4210.87,6852.77,10144.41,3977.02,4229.71,6414.38,7566.23,8442.58,4027.65,5675.87,3752.9,11730.13,1899.95,5484.13,11641.78,3757.96,14449.89,3982.66,8939.56,7157.95,2938.81,9683.55,9740.62,11729.77,11948.59,17358.35,15171.03,5397.6,7401.78,11966.45,10286.1,10379.15,1820.27
